ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
11,3,1,Flat,5,5,0.5088677,0.6518769,0.708884,6.864084,8.607533,3.632147,4.95329,6.641722,8.685429,11.18418
11,4,2,Full Circle,5,4,0.6891617,2.488042,3.808637,5.74122,7.686108,3.076884,5.198295,6.896993,8.818594,11.69495
11,5,3,Flat,5,5,0.2619369,0.8337911,0.8668404,10.35326,11.12842,3.554355,4.365225,8.03014,10.91767,12.8723
11,6,4,Full Circle,5,5,0.02345478,0.594788,0.9312187,2.564167,7.006134,4.140801,9.993781,11.21592,12.88165,13.80302
11,7,5,Flat,5,5,0.021751,0.6251091,0.7039388,5.246122,6.499033,3.624572,4.63848,6.643658,8.166931,10.04377
11,8,6,Full Circle,5,5,0.5271847,0.7097932,1.020944,1.82065,10.99422,3.186893,6.107637,7.684694,10.5724,11.21658
11,9,7,Flat,5,1,0.02243719,0.6951301,0.750438,4.930833,8.774354,3.743114,4.573752,7.796742,9.296419,11.15075
11,10,8,Full Circle,5,1,0.02222964,0.5407168,4.919917,5.131142,9.340152,2.909791,4.575601,7.6735,8.651574,13.9151
11,11,9,Flat,5,4,0.02214013,0.6886246,0.7106935,7.252383,7.298991,3.465604,4.553514,11.46135,13.29402,14.1938
11,12,10,Full Circle,5,5,0.3818551,1.295622,5.672939,7.927687,9.549038,3.951631,6.506467,8.737975,10.88163,13.60322
11,13,11,Flat,5,3,1.061845,1.096037,5.164082,7.174417,7.35214,3.682423,4.353749,8.573644,10.02857,11.70557
11,14,12,Full Circle,5,5,0.8687875,3.045335,4.422561,6.632596,8.098495,5.422074,7.31028,9.275963,10.98618,12.60781
11,15,13,Flat,5,5,0.6548385,0.6996247,7.384392,11.06191,11.13922,3.576157,4.220612,9.418006,12.72271,14.67897
11,16,14,Full Circle,5,3,0.02586528,3.176476,7.918511,8.47427,11.38393,2.465885,3.787518,9.817865,10.73959,12.66108
11,17,15,Flat,5,5,0.7666322,0.8333236,4.942132,5.775724,6.220104,3.96529,5.031404,6.397613,7.87474,9.807087
11,18,16,Full Circle,5,4,0.02135289,1.290589,5.998772,12.45145,14.21747,4.055327,8.486729,12.32941,13.99515,14.81723
11,19,17,Flat,5,5,0.6669291,0.6779124,6.13112,8.607664,10.85095,3.74335,4.52037,7.663338,11.10636,12.51685
11,20,18,Full Circle,5,1,1.51053,5.086708,6.66383,9.018373,9.362641,4.76464,6.341028,7.91877,10.19553,11.01753
