ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,,,,,ShootAccuracy,,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
1,1,Training,Flat,2,1,50.00%,78.90%,53.33%,76.70%,3,22,0.01114499,0.7441393,,,,2.299047,5.575356,,,
1,2,1,Flat,3,3,100.00%,,,,0,,0.1774971,0.7771746,8.051798,,,3.487404,7.585147,9.662106,,
1,3,2,Flat,3,3,100.00%,,,,4,,0.3518859,0.6182885,5.549511,,,3.58364,5.138595,7.515101,,
1,4,3,Flat,3,3,100.00%,,,,2,,0.05588185,1.110618,1.210627,,,3.465089,4.897783,7.374476,,
1,5,4,Flat,5,3,60.00%,,,,0,,0.01115815,0.01115815,1.044021,1.266116,1.310662,3.453928,5.331113,7.407952,8.740466,10.00657
1,6,5,Flat,5,4,80.00%,,,,2,,0.01118317,0.01118317,0.1444384,1.188623,1.24374,4.675796,7.230097,8.829384,10.99501,11.86127
1,7,6,Flat,5,1,20.00%,,,,2,,0.01125728,0.01125728,0.1221785,9.740123,9.917643,4.075818,6.4418,8.285062,12.77183,13.8492
1,8,Training,LimitedFlat,2,1,50.00%,,73.33%,81.10%,2,,1.987842,7.807222,,,,3.38696,12.87181,,,
1,9,7,LimitedFlat,3,2,66.70%,,,,0,,0.8772361,4.864293,13.63814,,,2.865353,8.096196,14.65982,,
1,10,8,LimitedFlat,3,3,100.00%,,,,1,,0.6218834,8.862882,10.37315,,,3.209562,9.751652,11.67244,,
1,11,9,LimitedFlat,3,3,100.00%,,,,1,,0.01107923,2.943049,10.1509,,,2.032421,7.119002,11.38375,,
1,12,10,LimitedFlat,5,3,60.00%,,,,1,,0.04440065,2.588048,6.719037,8.396016,13.18287,4.087053,5.175321,7.652211,9.29558,14.0048
1,13,11,LimitedFlat,5,3,60.00%,,,,3,,0.8330013,1.288298,6.252751,11.13977,11.93906,2.565618,3.731956,8.307362,13.22761,14.07142
1,14,12,LimitedFlat,5,5,100.00%,,,,1,,0.01144045,0.8771501,4.586506,7.929579,12.83838,2.143178,3.076006,6.030289,8.940029,14.08233
1,15,Training,FullCircle,2,2,100.00%,81.70%,80.00%,73.30%,3,24,0.8219364,2.809905,,,,1.821424,4.009342,,,
1,16,13,FullCircle,3,0,0.00%,,,,1,,0.01107346,2.798425,4.96453,,,1.421293,4.0538,7.840691,,
1,17,14,FullCircle,3,3,100.00%,,,,1,,0.6552038,2.732101,6.142223,,,1.910667,4.064957,8.096342,,
1,18,15,FullCircle,3,3,100.00%,,,,3,,0.01145264,0.788795,8.995834,,,1.843653,3.398472,10.27332,,
1,19,16,FullCircle,5,2,40.00%,,,,1,,0.01098042,0.8662606,4.864493,6.397222,7.752143,2.143492,3.620485,7.374451,8.540585,9.795475
1,20,17,FullCircle,5,5,100.00%,,,,3,,0.1553627,0.9218489,2.709702,6.030745,7.585141,1.754756,2.454272,5.552888,7.218732,8.818064
1,21,18,FullCircle,5,5,100.00%,,,,4,,0.4331685,2.276729,3.509711,8.474105,9.495953,1.588208,4.831334,5.708722,9.440253,10.31789
1,22,Training,LimitedFullCircle,2,0,0.00%,,80.00%,90.00%,0,,1.432837,3.642702,,,,2.820956,4.831106,,,
1,23,19,LimitedFullCircle,3,3,100.00%,,,,1,,1.444667,5.708609,8.684955,,,3.198573,7.075049,9.551461,,
1,24,20,LimitedFullCircle,3,3,100.00%,,,,2,,0.6775475,1.154808,6.719164,,,2.298802,3.742833,7.930125,,
1,25,21,LimitedFullCircle,3,3,100.00%,,,,2,,0.01113794,2.43241,5.886056,,,1.943408,4.776752,6.918988,,
1,26,22,LimitedFullCircle,5,5,100.00%,,,,0,,0.7662265,1.188318,3.465096,4.842222,6.841378,2.076857,2.909776,5.231294,6.11954,9.51851
1,27,23,LimitedFullCircle,5,4,80.00%,,,,1,,0.7216497,3.476102,5.319714,6.608648,8.418325,2.721051,6.385828,8.362994,10.35083,11.79467
1,28,24,LimitedFullCircle,5,3,60.00%,,,,2,,0.7552387,3.398546,6.430368,8.640466,9.062769,1.788063,4.520693,7.886692,12.86083,13.53843
,,,,,,72.70%,,,,46,,,,,,,,,,,
