ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,ShootAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
3,1,Training,Flat,5,5,4,0.0215624,0.0215624,0.8508586,0.8508586,4.596907,2.509928,2.95419,4.131468,4.641365,6.774425
3,2,Training,Flat,5,3,1,0.02146103,0.4398896,0.5304985,3.965588,4.231822,2.822148,3.477147,4.587502,5.909207,6.764941
3,3,1,Flat,5,5,2,0.6225973,0.800993,1.467533,7.320821,7.330839,2.199243,2.799571,4.365579,9.707496,10.32871
3,4,2,Flat,5,4,0,0.2952564,0.9446067,1.055609,4.010026,4.154015,2.854752,3.453261,5.064902,5.875993,7.641653
3,5,3,Flat,5,5,1,0.0202192,0.73861,0.8170471,5.102918,6.102991,3.348142,3.924992,5.858427,6.902306,8.26819
3,6,4,Flat,5,5,2,0.02252032,0.6080198,0.6200143,3.842807,3.920637,2.765523,3.26517,5.601551,7.063405,7.840998
3,7,5,Flat,5,5,1,0.01961192,0.3854632,3.353583,3.420529,3.487769,2.421679,2.988166,5.62012,6.937147,7.485827
3,8,6,Flat,5,4,2,0.6416316,0.6753107,4.153516,4.175484,4.264535,3.142352,3.697897,6.652345,7.407184,8.062469
3,9,7,Flat,5,5,1,0.4434969,0.530956,4.343015,8.141312,10.3857,2.732952,3.487383,5.076022,9.385211,11.29479
3,10,8,Flat,5,5,4,0.02641775,0.6994907,0.7440851,4.030484,4.075292,3.054697,3.487689,5.49626,6.763328,7.69755
3,11,Training,Full Circle,5,1,4,0.9427258,2.58819,3.509626,4.787115,5.786655,1.933507,3.343626,3.932062,5.564754,6.197638
3,12,Training,Full Circle,5,1,1,0.1952861,1.15511,4.231647,6.096845,7.574566,3.153723,5.109446,7.351289,8.024704,9.196302
3,13,9,Full Circle,5,5,2,0.3848315,1.200058,3.643223,7.208859,7.974674,2.344381,3.355091,4.364868,7.896301,8.641594
3,14,10,Full Circle,5,5,4,1.070642,3.092982,6.188556,7.912018,9.511246,2.113919,3.95788,6.734524,8.844161,10.17736
3,15,11,Full Circle,5,5,0,0.02105682,0.6586696,4.911209,7.743945,8.532452,1.768885,3.123996,5.667,7.344007,9.443401
3,16,12,Full Circle,5,5,1,0.3712394,0.8210596,4.063462,6.784101,7.229325,2.298035,2.919477,4.618864,8.594929,9.139021
3,17,13,Full Circle,5,1,2,0.5782637,2.233818,4.200453,8.720596,9.898219,1.756768,2.500237,5.099414,9.69819,10.22818
3,18,14,Full Circle,5,5,3,0.5105703,0.8563993,1.534575,2.923191,6.399037,2.378713,3.278447,4.333387,6.965474,7.486487
3,19,15,Full Circle,5,5,4,0.8494021,2.515503,4.680482,6.680099,9.911983,1.571691,3.05976,5.503776,9.468237,10.73385
3,20,16,Full Circle,5,5,1,0.1541131,1.178262,2.410615,6.654834,8.962933,2.354395,2.844348,5.843586,7.142267,9.77489
3,21,Training,Limited Flat,5,1,1,0.02007388,1.311279,6.708806,6.997361,12.17276,4.742562,5.609846,7.485346,8.174906,12.98355
