ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,,,,,ShootAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
4,1,Training,LimitedFullCircle,2,2,100.0%,53.33%,40.00%,48.3%,0,1.099285,5.019692,,,,6.441317,8.740407,,,
4,2,1,LimitedFullCircle,3,1,33.3%,,,,0,0.2334447,2.187972,4.40927,,,5.897403,8.885272,10.57334,,
4,3,2,LimitedFullCircle,3,3,100.0%,,,,1,1.498746,2.820401,5.930313,,,3.664689,5.108461,7.274021,,
4,4,3,LimitedFullCircle,3,2,66.7%,,,,0,0.0890464,3.05497,5.84188,,,3.843147,5.319945,7.318858,,
4,5,4,LimitedFullCircle,5,2,40.0%,,,,0,0.01099678,0.7660633,4.953165,7.751827,7.8963,2.221244,3.720456,5.897069,9.22958,10.37305
4,6,5,LimitedFullCircle,5,2,40.0%,,,,0,1.110561,4.175772,4.35372,7.329998,8.90701,3.431547,5.153753,5.919477,8.607096,9.662235
4,7,6,LimitedFullCircle,5,2,40.0%,,,,1,0.01091915,0.655098,6.46358,8.429289,9.628823,4.143028,5.008875,7.207667,9.573328,10.21778
4,8,Training,FullCircle,2,2,100.0%,43.33%,20.00%,,0,0.9329437,6.896904,,,,2.421407,8.296346,,,
4,9,7,FullCircle,3,3,100.0%,,,,0,0.2775627,3.89799,9.129794,,,2.976132,4.986533,10.2177,,
4,10,8,FullCircle,3,0,0.0%,,,,0,0.01114082,4.698344,6.985718,,,2.954167,5.553481,8.051874,,
4,11,9,FullCircle,3,3,100.0%,,,,1,0.01078345,2.143138,6.385609,,,3.286979,4.486374,8.107125,,
4,12,10,FullCircle,5,2,40.0%,,,,1,3.376133,5.053179,5.219764,8.407346,10.1398,4.420148,5.97505,6.830189,9.817727,10.63975
4,13,11,FullCircle,5,1,20.0%,,,,0,0.6443999,2.709955,5.28655,7.507926,10.77333,1.921353,3.787211,6.552743,8.429585,12.15028
4,14,12,FullCircle,5,0,0.0%,,,,2,0.01124797,3.842721,5.231364,7.851996,9.484563,3.276482,4.276066,5.931019,8.640491,9.817657
4,15,Training,LimitedFlat,2,2,100.0%,63.33%,26.67%,63.3%,1,3.687171,11.55038,,,,5.530807,14.8157,,,
4,16,13,LimitedFlat,3,3,100.0%,,,,2,0.3221135,5.797453,11.82825,,,3.842869,7.430048,13.7717,,
4,17,14,LimitedFlat,3,3,100.0%,,,,1,2.19893,8.918272,10.50639,,,3.198586,10.38414,12.50548,,
4,18,15,LimitedFlat,3,3,100.0%,,,,0,0.01115462,5.387276,10.57321,,,2.787771,7.252527,13.72727,,
4,19,16,LimitedFlat,5,0,0.0%,,,,1,0.01110329,0.588421,5.341889,11.76116,12.68299,2.687513,3.564818,6.463617,12.89382,13.86044
4,20,17,LimitedFlat,5,2,40.0%,,,,1,1.232464,3.520465,4.786618,10.61794,11.66121,2.720809,4.420029,6.707957,11.60577,12.95022
4,21,18,LimitedFlat,5,2,40.0%,,,,2,0.0106609,0.3880936,6.40757,10.86126,13.3268,2.353912,3.808759,7.751484,12.194,14.13742
4,22,Training,Flat,2,2,100.0%,63.33%,60.00%,,0,0.01115237,3.154436,,,,2.176894,6.674838,,,
4,23,19,Flat,3,1,33.3%,,,,1,0.0111312,3.33181,7.740976,,,2.654205,6.841474,10.9838,,
4,24,20,Flat,3,2,66.7%,,,,1,0.0101627,1.354043,2.375792,,,4.00866,7.728823,11.69375,,
4,25,21,Flat,3,3,100.0%,,,,0,0.01124476,2.865248,6.619242,,,3.953684,5.353298,10.13985,,
4,26,22,Flat,5,4,80.0%,,,,0,0.01125792,0.01125792,2.587815,2.698895,6.697033,2.043928,2.84304,4.775642,5.741768,10.61731
4,27,23,Flat,5,1,20.0%,,,,3,0.01111195,2.532279,2.976518,7.496635,7.663337,2.410208,4.954254,6.208345,10.09594,12.41668
4,28,24,Flat,5,4,80.0%,,,,1,0.01129513,0.01129513,3.398445,3.542927,8.151861,2.165863,2.954358,5.320232,6.641403,11.85017
